Codigo  	Descricao
07.16   	Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios.
07.16.01	Florestamento,  reflorestamento ou congênere
07.16.03	Semeadura, adubação, reparação de solo, plantio, silagem, colheita
07.16.04	Corte e descascamento de árvores
07.16.05	Silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios
07.17   	Escoramento, contenção de encostas e serviços congêneres
07.17.01	Escoramento, contenção de encostas e serviços congêneres
07.17.02	Escoramento, contenção de encostas e serviços congêneres, quando executados em uma obra de construção civil
07.17.03	Escoramento, contenção de encostas e serviços congêneres, quando executados em uma obra de reforma ou reparação de imóvel
07.18   	Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.
07.18.01	Limpeza e dragagem de rios
07.18.02	Limpeza e dragagem de portos
07.18.03	Limpeza e dragagem de canais
07.18.04	Limpeza e dragagem de baías ou congêneres
07.18.05	Limpeza e dragagem de lagos, lagoas, represas, açudes ou congêneres
07.19   	Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo
07.19.01	Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura ou urbanismo
07.19.04	Engenharia consultiva - acompanhamento e  fiscalização da execução de obras de engenharia, arquitetura e urbanismo (relacionados com obras de construção civil, hidráulicas, de escoramento  ou de contenção de encostas)
07.20   	Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.
07.20.01	Aerofotogrametria
07.20.02	Interpretação de aerofotogrametria
07.20.03	Cartografia ou congênere
07.20.04	Mapeamento ou congênere
07.20.05	Levantamentos topográficos ou congêneres
07.20.06	Levantamentos batimétricos ou congêneres
07.20.07	Levantamentos geográficos ou congêneres
07.20.08	Levantamentos geodésicos ou congêneres
07.20.09	Levantamentos geológicos ou congêneres
07.20.10	Levantamentos geofísicos ou congêneres
07.20.11	Topografia e congêneres, quando prestados em uma obra de construção civil
07.20.12	Topografia e congêneres, quando prestados em uma obra de reforma de imóvel
07.21   	Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.
07.21.01	Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais
07.21.03	Serviços de logística relacionados à exploração e à explotação de petróleo e gás natural
07.21.04	Integração de serviços de implementação,  intervenção  e interligação de  poços  marítimos  relacionados à exploração  e  à explotação  de  petróleo  e  gás  natural,  desde  que  os  respectivos estabelecimentos prestadores sejam localizados nos bairros de Acari, Barros  Filho, Cordovil, Costa Barros, Jardim América, Parada  de Lucas, Parque Colúmbia, Pavuna e Vigário Geral
07.21.05	Serviços prestados mediante cessão de direito de uso de dados sísmicos não exclusivos obtidos por Empresa de Aquisição de Dados - EAD, na forma da regulamentação da Agência Nacional de Petróleo, Gás Natural e Biocombustíveis - ANP ou agência reguladora que a substitua
07.22   	Nucleação e bombardeamento de nuvens e congêneres.
07.22.01	Nucleação e bombardeamento de nuvens ou congêneres
08      	Serviços de educação, ensino, orientação pedagógica e educacional, instrução, treinamento e avaliação pessoal de qualquer grau ou natureza.
08.01   	Ensino regular pré-escolar, fundamental, médio e superior.
08.01.01	Ensino pré-escolar
08.01.02	Ensino fundamental
08.01.03	Ensino médio
08.01.04	Ensino superior
08.01.05	Ensino regular à distância
08.02   	Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.
08.02.01	Instrução
08.02.02	Treinamento
08.02.03	Orientação pedagógica
08.02.04	Orientação educacional
08.02.05	Avaliação de conhecimentos
08.02.06	Ensino técnico
08.02.07	Ensino tecnológico
08.02.08	Ensino de música
08.02.09	Ensino de artes
08.02.10	Ensino de idiomas
08.02.11	Formação de condutores
08.02.12	Curso de pilotagem
08.02.13	Curso de informática
08.02.14	Cursos em geral
08.02.15	Instrução e treinamento à distância
08.02.16	Ensino à distância - cursos livres
09      	Serviços relativos a hospedagem, turismo, viagens e congêneres.
09.01   	Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).
09.01.01	Hospedagem, de qualquer natureza, em hotéis
09.01.02	Hospedagem, de qualquer natureza, em apart-service condominial, flat, apart-hotel, hotel residência, residence-service, suite service, condomínio hoteleiro, flat-hotel ou congênere
09.01.03	Hospedagem de qualquer natureza - hotelaria marítima
09.01.04	Hospedagem, de qualquer natureza, em pensões, hospedarias e congêneres
09.01.05	Ocupação por temporada com fornecimento de serviço
09.01.06	Hospedagem, de qualquer natureza, em motéis e congêneres
09.02   	Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
09.02.01	Agenciamento, organização, promoção e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
09.02.02	Execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.
09.02.03	Reservas
09.03   	Guias de turismo.
09.03.01	Guia de turismo
10      	Serviços de intermediação e congêneres.
10.01   	Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.
10.01.01	Agenciamento, corretagem ou intermediação de câmbio
10.01.03	Agenciamento, corretagem ou intermediação  de cartões de crédito
10.01.04	Agenciamento, corretagem ou intermediação de planos de saúde
10.01.05	Agenciamento, corretagem ou intermediação de planos de previdência privada
10.01.06	Agenciamento, corretagem ou intermediação, quando relativos a seguros
10.01.07	Agenciamento, corretagem ou intermediação, quando relativos a resseguros
10.02   	Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.
10.02.01	Agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários
10.02.02	Serviços de agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários, prestados por instituição autorizada a funcionar pelo Banco Central do Brasil
10.02.03	Agenciamento, corretagem ou intermediação de contratos quaisquer 
10.02.04	Serviços de agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários realizados no âmbito de Bolsa de Mercadorias e Futuros
10.02.05	Intermediação de serviços entre pessoas físicas, realizada exclusivamente pela internet
10.03   	Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.
10.03.01	Agenciamento, corretagem ou intermediação de direitos de propriedade industrial
10.03.02	Agenciamento, corretagem ou intermediação de direitos de propriedade artística
10.03.03	Agenciamento, corretagem ou intermediação de direitos de propriedade literária
10.04   	Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).
10.04.01	Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing)
10.04.02	Agenciamentode contratos de franquia (franchising)
10.04.03	Agenciamento, corretagem ou intermediação de contratos de faturização (factoring)
10.05   	Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.
10.05.01	Agenciamento, corretagem ou intermediação de contratos em mercado de mercadorias e futuros
10.05.02	Agenciamento, corretagem ou intermediação de bens móveis
10.05.03	Agenciamento, corretagem ou intermediação de bens imóveis
10.05.04	Venda em consignação
10.05.05	Agenciamento de cargas
10.05.06	Intermediação na comercialização de produtos de informática
10.05.07	Agenciamento de transportes
10.05.08	Intermediação para licenciamento ou cessão do direito de uso de programa de computador
10.06   	Agenciamento marítimo.
10.06.01	Agenciamento marítimo
10.07   	Agenciamento de notícias.
10.07.01	Agenciamento de notícias
10.08   	Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.
10.08.01	Agenciamento de publicidade e propaganda
10.08.02	Agenciamento de veiculação de publicidade e propaganda
10.09   	Representação de qualquer natureza, inclusive comercial.
10.09.01	Representação comercial
10.09.02	Representação em geral
10.09.04	Serviços de representação ativa ou passiva, realizada através de centrais de teleatendimento, prestados por estabelecimentos situados na Área de Planejamento 3 - AP-3 e na Área de Planejamento 5 - AP-5, conforme delimitadas no Plano Diretor da Cidade do Rio de Janeiro, Lei Complementar nº 111, de 1º de fevereiro de 2011, e na Área de Planejamento 2.2 - AP-2.2, que engloba a VIII e a IX Regiões Administrativas
10.09.05	Serviços de representação, quando relativa a seguros
10.09.06	Serviços de representação, quando relativa a resseguros
10.10   	Distribuição de bens de terceiros.
10.10.01	Distribuição de bens de terceiros
10.10.02	Serviços relativos à indústria cinematográfica, correspondentes a receitas de distribuição de filmes, exclusivamente vinculados a filme brasileiro, natural ou de enredo, e havendo dedicação exclusiva do distribuidor a filmes brasileiros, naturais ou de enredo
10.10.03	Serviços relativos à indústria cinematográfica, correspondentes a receitas de distribuição de filmes, vinculados a filme estrangeiro, ou não havendo dedicação exclusiva do distribuidor a filmes brasileiros
11      	Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.
11.01   	Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.
11.01.01	Guarda e estacionamento de veículos terrestres automotores
11.01.02	Guarda e estacionamento de aeronaves
11.01.03	Guarda e estacionamento de embarcações
11.02   	Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.
11.02.03	Vigilância, segurança ou monitoramento de bens, pessoas ou semoventes
11.03   	Escolta, inclusive de veículos e cargas.
11.03.01	Escolta
11.04   	Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.
11.04.01	Armazenamento, guarda ou depósito de bens
11.04.02	Carga e/ou descarga de bens
11.04.03	Arrumação de bens
11.05   	Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de tecnologia da informação veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza
11.05.01	Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de tecnologia da informação veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza
12      	Serviços de diversões, lazer, entretenimento e congêneres.
12.01   	Espetáculos teatrais
12.01.01	Espetáculos teatrais
12.02   	Exibições cinematográficas
12.02.01	Exibições cinematográficas
12.03   	Espetáculos circenses
12.03.01	Espetáculos circenses
12.04   	Programas de auditório
12.04.01	Programas de auditório
12.05   	Parques de diversões, centros de lazer e congêneres.
12.05.01	Parques de diversões e congêneres
12.05.02	Centros de lazer  e congêneres
12.06   	Boates, taxi-dancing e congêneres
12.06.01	Taxi-dancing  e congêneres
12.06.02	Boates  e congêneres
12.06.03	Discotecas
12.06.04	Danceterias
12.07   	Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres
12.07.01	Realização de shows
12.07.02	Realização de espetáculos de  ballet
12.07.03	Realização de dança
12.07.04	Realização de desfile
12.07.05	Realização de baile
12.07.06	Realização de espetáculos de ópera
12.07.07	Realização de concerto
12.07.08	Realização de recital
12.07.09	Realização de festival
12.08   	Feiras, exposições, congressos e congêneres
12.08.01	 feira, exposição, congresso ou congênere
12.09   	Bilhares, boliches e diversões eletrônicas ou não
12.09.01	Jogos de bilhar
12.09.02	Jogos de boliche
12.09.03	Diversões eletrônicas ou não
12.10   	Corridas e competições de animais
12.10.01	Corridas e competições de animais
12.11   	Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.
12.11.01	Competições esportivas ou de destreza física ou intelectual
12.12   	Execução de música
12.12.01	Execução de música
12.13   	Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.
12.13.01	Produção de eventos
12.13.02	Produção de espetáculos
12.13.03	Produção de entrevistas
12.13.04	Produção de shows
12.13.05	Produção de desfiles
12.13.06	Produção de danças
12.13.07	Produção de bailes
12.13.08	Produção de peças teatrais
12.13.09	Produção de óperas
12.13.10	Produção de concertos
12.13.11	Produção de recitais
12.13.12	Produção de festivais e congêneres
12.14   	Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo
12.14.01	Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo
12.15   	Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.
12.15.01	Desfiles de blocos carnavalescos ou folclóricos, ou congêneres
12.15.02	Desfiles de trios elétricos ou conêneres
12.16   	Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres
12.16.01	Exibição de filmes cinematográficos
12.16.08	Exibição de entrevistas
12.16.09	Exibição de musicais
12.16.10	Exibição de espetáculos
12.16.11	Exibição de shows
12.16.12	Exibição de desfiles
12.16.13	Exibição de concertos
12.16.14	Óperas
12.16.15	Exibição de competições esportivas, de destreza intelectual ou congêneres
12.17   	Recreação e animação, inclusive em festas e eventos de qualquer natureza
12.17.01	Recreação
12.17.02	Animação de festas
12.17.03	Animação em feiras
12.17.04	Animação em eventos de qualquer natureza
13      	Serviços relativos a fonografia, fotografia, cinematografia e reprografia.
13.02   	Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.
13.02.01	Fonografia
13.02.02	Gravação de sons
13.02.03	Trucagem de som
13.02.04	Dublagem
13.02.05	Mixagem
13.02.06	Reprodução de som
13.02.07	Reprodução de vídeo
13.02.08	Reprodução de software
13.02.09	Edição de música
13.03   	Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.
13.03.01	Fotografia
13.03.02	Cinematografia
13.03.03	Revelação fotográfica
13.03.04	Ampliação fotográfica
13.03.05	Cópia de imagem
13.03.06	Reprodução de filme
13.03.07	Trucagem de imagem
13.03.08	Serviços relativos à indústria cinematográfica, diretamente concorrentes para a produção da obra audiovisual, vinculados a filme brasileiro, natural ou de enredo
13.03.09	Serviços relativos à indústria cinematográfica, diretamente concorrentes para a produção da obra audiovisual, vinculados a filme estrangeiro
13.03.10	Cinematografia - filmes publicitários
13.04   	Reprografia, microfilmagem e digitalização.
13.04.01	Reprografia
13.04.02	Microfilmagem
13.04.03	Digitalização
13.04.04	Serviços típicos de papelarias e estabelecimentos congêneres, como reprografia (cópias), plastificação e outros
13.05   	Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma, a outra mercadoria que deva ser objeto de posterior circulação, tais como bulas, rótulos, etiquetas, caixas, cartuchos, embalagens e manuais técnicos e de instrução, quando ficarão sujeitos ao ICMS.
13.05.01	Composição gráfica
13.05.02	Fotocomposição e outras matrizes gráficas
13.05.03	Clicheria
13.05.04	Zincografia
13.05.05	Litografia
13.05.06	Fotolitografia
13.05.07	Impressão
13.05.08	Pré-impressão
13.05.09	Impressão em chapas metálicas
13.05.10	Encadernação de livros e revistas
13.05.11	Confecção de impressos personalizados
13.05.12	Confecção de impressos de segurança
13.05.13	Acabamento gráfico
13.05.14	Confecção de impressos para o usuário final
13.05.15	Serviços gráficos em geral
14      	Serviços relativos a bens de terceiros.
14.01   	Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam s
14.01.01	Lubrificação de máquinas
14.01.02	Limpeza ou lustração de máquinas
14.01.03	Revisão de máquinas
14.01.04	Carga e recarga de máquinas
14.01.05	Conserto de máquinas
14.01.06	Restauração de máquinas
14.01.07	Manutenção de máquinas
14.01.08	Conservação de máquinas
14.01.09	Lubrificação de aparelhos
14.01.10	Limpeza ou lustração de aparelhos
14.01.11	Revisão de aparelhos
14.01.12	Carga e recarga de aparelhos
14.01.13	Conserto de aparelhos
14.01.14	Restauração de aparelhos
14.01.15	Manutenção de aparelhos
14.01.16	Conservação de aparelhos
14.01.17	Conservação de veículos
14.01.18	Lubrificação de veículos
14.01.19	Limpeza de veículos
14.01.20	Revisão de veículos
14.01.22	Conserto de veículos
14.01.23	Restauração de veículos
14.01.24	Manutenção de veículos
14.01.25	Blindagem de veículos
14.01.26	Lustração de veículos
14.01.27	Lubrificação de equipamentos
14.01.28	Limpeza de equipamentos
14.01.29	Revisão de equipamentos
14.01.30	Conserto de equipamentos
14.01.31	Restauração de equipamentos
14.01.32	Manutenção de equipamentos
14.01.33	Conservação de equipamentos
14.01.34	Lubrificação, limpeza, revisão,  conserto, restauração, manutenção ou conservação de elevadores
14.01.35	Lubrificação de motores
14.01.36	Limpeza de motores
14.01.37	Revisão de motores
14.01.38	Conserto de motores
14.01.39	Restauração de motores
14.01.40	Manutenção de motores
14.01.41	Conservação de motores
14.01.42	Recondicionamento de baterias
14.01.43	Manutenção de estações elétricas
14.01.44	Manutenção de redes elétricas
14.01.45	Manutenção de estações de telecomunicações
14.01.46	Manutenção de redes de telecomunicações
14.01.47	Alinhamento para veículos
14.01.48	Balanceamento para veículos
14.01.49	Recarga de cartuchos
14.01.50	Restauração de arte
14.01.51	Manutenção de computadores
14.01.52	Manutenção de eletrodomésticos
14.01.53	Conserto de calçados
14.01.54	Lubrificação de objetos em geral
14.01.55	Limpeza de objetos em geral
14.01.56	Lustração de objetos em geral
14.01.57	Revisão em objetos em geral
14.01.58	Carga e recarga de objetos em geral
14.01.59	Conserto de objetos em geral
14.01.60	Restauração de objetos em geral
14.01.61	Blindagem de objetos em geral
14.01.62	Manutenção de objetos em geral
14.01.63	Conservação de objetos em geral
14.01.64	Reparação de embarcações efetuada por industria da construção e de reparo naval
14.01.65	Serviços relacionados a reparação de embarcações, efetuados por prestadores contratados pela industria da construção e de reparo naval
14.01.66	Lei nº 5.133/2009, art. 4º - lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção ou conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc. IV do art. 3º da Lei nº 4.372/2006.
14.02   	Assistência técnica.
14.02.01	Assistência técnica
14.02.02	Serviços de assistência técnica, manutenção, reparação e outros, relacionados ao fornecimento de gás
14.03   	Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).
14.03.01	Recondicionamento de motores
14.04   	Recauchutagem ou regeneração de pneus.
14.04.01	Recauchutagem de pneus
14.04.02	Regeneração de pneus
14.04.03	Borracharia para veículos
14.05   	Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.
14.05.01	Restauração
14.05.02	Recondicionamento
14.05.03	Acondicionamento
14.05.04	Pintura
14.05.05	Beneficiamento
14.05.06	Lavagem
14.05.07	Secagem
14.05.08	Tingimento
14.05.09	Galvanoplastia
14.05.10	Anodização
14.05.11	Corte
14.05.12	Recorte
14.05.13	Polimento
14.05.14	Plastificação
14.05.15	Estamparia têxtil
14.05.16	Texturização têxtil
14.05.17	Alvejamento de tecidos
14.05.18	Usinagem
14.05.19	Solda
14.05.20	Revestimento de metais
14.05.21	Tratamento de metais
14.05.22	Britamento de pedras
14.05.23	Aparelhamento de pedras
14.05.24	Vitrificação
14.05.25	Envasamento
14.05.26	Empacotamento
14.05.27	Serviços não especificados, aplicados a objetos quaisquer
14.05.28	Tinturaria - lavagem, secagem, tingimento e serviços conexos
14.05.29	Lei nº 5.133/2009, art. 4º - restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação ou congênere, de objeto qualquer, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc. IV do art. 3º da Lei nº 4.372/2006.
14.05.30	Costura e congêneres
14.05.31	Acabamento e congêneres, de objetos quaisquer
14.06   	Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.
14.06.01	Montagem industrial
14.06.02	Instalação de aparelhos
14.06.03	Instalação de máquinas
14.06.04	Instalação de equipamentos
14.06.05	Montagem de aparelhos
14.06.06	Montagem de máquinas
14.06.07	Montagem de equipamentos
14.06.08	Montagem de locomotivas
14.06.09	Montagem de vagões
14.06.10	Montagem de material rodante
14.06.11	Montagem de aeronaves
14.06.12	Montagem de estruturas metálicas
14.06.13	Instalação de painéis
14.06.14	Montagem de stands
14.06.15	Instalação de acessórios para veículos
14.06.16	Lei nº 5.133/2009, art. 4º - instalação e/ou montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestada ao usuário final, exclusivamente com material por ele fornecido, e vinculada à construção ou à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc. IV do art. 3º da Lei nº 4.372/2006.
14.07   	Colocação de molduras e congêneres.
14.07.01	Colocação de molduras
14.08   	Encadernação, gravação e douração de livros, revistas e congêneres.
14.08.01	Encadernação de livros ou congêneres
14.08.02	Douração de livros ou congêneres
14.08.03	Gravação de livros ou congêneres
14.08.04	Encadernação de revistas ou congêneres
14.09   	Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.
14.09.01	Alfaiataria
14.09.02	Costura
14.09.03	Confecção sob medida
14.10   	Tinturaria e lavanderia.
14.10.01	Tinturaria
14.10.02	Lavanderia
14.10.03	Toalharia
14.11   	Tapeçaria e reforma de estofamentos em geral.
14.11.01	Tapeçaria
14.11.02	Reforma de estofamentos
14.12   	Funilaria e lanternagem.
14.12.01	Funilaria
14.13   	Carpintaria e serralheria.
14.13.01	Carpintaria
14.13.02	Serralheria
14.14   	Guincho intramunicipal, guindaste e içamento.
14.14.01	Guincho intramunicipal, guindaste e içamento
15      	Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.
15.01   	Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.
15.01.01	Administração de fundos quaisquer
15.01.02	Administração de carteira de clientes
15.01.03	Administração de consórcio
15.01.04	Administração de cartões de crédito ou débito e congêneres
15.01.05	Administração de cheques pré-datados e congêneres
15.02   	Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.
15.02.01	Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no país e no exterior, bem como a manutenção das referidas contas ativas e inativas
15.03   	Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.
15.03.01	Locação e manutenção de cofres particulares
15.03.02	Locação e manutenção de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral
15.04   	Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres
15.04.01	Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres
15.05   	Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos ¿ CCF ou em quaisquer outros bancos cadastrais
15.05.01	Cadastro,elaboração de ficha cadastral, renovação cadastral e congêneres 
15.05.02	Inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos ¿ CCF ou em quaisquer outros bancos cadastrais
15.06   	Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia
15.06.01	Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral
15.06.02	Abono de firmas
15.06.03	Coleta e entrega de documentos, bens e valores
15.06.04	Comunicação com outra agência ou com a administração central 
15.06.05	Licenciamento eletrônico de veículos
15.06.06	Transferência de veículos
15.06.07	Agenciamento fiduciário ou depositário 
15.06.08	Devolução de bens em custódia
15.06.09	Baixa eletrônica de gravame para veículos
15.07   	Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo
15.07.01	Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, facsímile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas 
15.07.02	 acesso a outro banco e a rede compartilhada
15.07.03	Fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo
15.08   	Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins.
15.08.01	Emissão de contrato de crédito 
15.08.02	Reemissão de contrato de crédito 
15.08.03	Alteração de contrato de crédito
15.08.04	Cessão de contrato de crédito
15.08.05	Substituição de contrato de crédito
15.08.06	Cancelamento de contrato de crédito
15.08.07	Registro de contrato de crédito
15.08.08	Estudo, análise e avaliação de operações de crédito
15.08.09	Emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres
15.08.10	Serviços relativos a abertura de crédito, para quaisquer fins 
15.08.11	Operações não especificadas relativas a contratos de crédito
15.09   	Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).
15.09.01	Arrendamento mercantil (leasing) de quaisquer bens, cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato 
15.09.02	 serviços não especificados relacionados ao arrendamento mercantil (leasing) 
15.10   	Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral.
15.10.01	Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento 
15.10.02	Fornecimento de posição de cobrança, recebimento ou pagamento 
15.10.03	Emissão de carnês, fichas de compensação, impressos ou documentos em geral 
15.11   	Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados
15.11.01	Devolução de títulos
15.11.02	Protesto de títulos
15.11.03	Sustação de protesto de títulos
15.11.04	Manutenção de títulos
15.11.05	Reapresentação de títulos
15.11.06	Serviços não especificados relacionados a títulos
15.12   	Custódia em geral, inclusive de títulos e valores mobiliários.
15.12.01	Custódia de títulos
15.12.02	Custódia de valores mobiliários
15.12.03	Custódia de bens
15.12.04	Custódia em geral
